DATASET,ID,SMILES_Curado,Score_vina,S_moe,E_score1_moe,E_score2_moe,rmsd_refine_moe,ID_moe,ID_Score_Vina,SA score
CRAFT_1000,CRAFT_1000_1,CCOCCCNCCC(=O)c1nonc1-c1ccc(C(=O)O)c(OC(=O)CN)c1,-6.446,-6.7958493,-13.260355,-6.7958493,1.5447971,No_10_108,No_10_108_out,2.885
CRAFT_1000,CRAFT_1000_2,COc1cc2cn[nH]c2nc1CCNC(=N)Nc1cc(NC(=N)N)ccc1CO,-7.186,-6.9057498,-13.321731,-6.9057498,1.9407166,No_10_110,No_10_110_out,3.239
CRAFT_1000,CRAFT_1000_3,N=C(NCCc1cc(CO)c2cn[nH]c2n1)Nc1cc(C(N)=O)ccc1O,-7.596,-7.054153,-12.332991,-7.054153,2.6852915,No_10_118,No_10_118_out,3.057
CRAFT_1000,CRAFT_1000_4,[NH]c1ccc(NC(=N)NCCc2cc(CO)c3cn[nH]c3n2)c(O)c1,-7.223,-6.2726827,-13.707023,-6.2726827,2.303035,No_10_122,No_10_122_out,3.498
CRAFT_1000,CRAFT_1000_5,NC[C@H](N)c1cccc(C(=O)c2cncc(Nc3cc(CO)ccc3O)c2)c1,-7.758,-6.6022768,-14.062366,-6.6022768,2.3606889,No_10_142,No_10_142_out,2.972
CRAFT_1000,CRAFT_1000_6,CCNC(=O)[C@@H](CN)n1nc(CC[NH])oc1=O,-5.202,-5.4353218,-10.578174,-5.4353218,1.9701748,No_10_144,No_10_144_out,4.076
CRAFT_1000,CRAFT_1000_7,CCC(=O)OCc1ccc(O)c(NC(=N)NCCc2cc(CO)c3cn[nH]c3n2)c1,-7.371,-6.9726725,-11.268369,-6.9726725,1.4348609,No_10_148,No_10_148_out,3.127
CRAFT_1000,CRAFT_1000_8,NCc1nc(CNC(=O)[C@H](O)CCC(=O)O)cc2nc[nH]c12,-7.386,-6.3233104,-12.167539,-6.3233104,1.5493432,No_10_153,No_10_153_1_out,3.433
CRAFT_1000,CRAFT_1000_9,CC(=O)Cc1ccc(NC(=N)NCCc2cc(CO)c3cn[nH]c3n2)c(O)c1,-7.386,-6.3233104,-12.167539,-6.3233104,1.5493432,No_10_153,No_10_153_1_out,3.144
CRAFT_1000,CRAFT_1000_10,[NH]c1cc(O)ccc1C(=O)[C@@H](CN)n1nc(CO)oc1=O,-6.104,-5.1840296,-15.311827,-5.1840296,1.1344318,No_10_168,No_10_168_out,4.079
