DATASET,ID,SMILES_Curado,Score_vina,S_moe,E_score1_moe,E_score2_moe,rmsd_refine_moe,ID_moe,ID_Score_Vina,SA score
LCS_2000,LCS_2000_1,NCc1ncc([C@H](NC(=O)CO)c2ccccc2N)[nH]1,-5.768,-5.7066212,-11.069207,-5.7066212,1.5017104,No_10_101,No_10_101_out,3.35
LCS_2000,LCS_2000_2,C[C@H](CCCc1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1)c1ccccc1,-7.621,-7.2517767,-9.6128235,-7.2517767,1.3010783,No_10_115,No_10_115_out,3.05
LCS_2000,LCS_2000_3,NCc1cc2cnc(CC(=O)Nc3cccc(Nc4ccccc4)c3N)nc2[nH]1,-7.571,-6.1264234,-10.402569,-6.1264234,2.2147298,No_10_121,No_10_121_out,2.752
LCS_2000,LCS_2000_4,CNCC[C@@H](N)CCc1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-6.62,-7.0685754,-12.626722,-7.0685754,1.9594475,No_10_122,No_10_122_out,3.373
LCS_2000,LCS_2000_5,C[C@@H](NCCN)c1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-6.332,-6.1360254,-11.688143,-6.1360254,3.3139799,No_10_126,No_10_126_out,3.257
LCS_2000,LCS_2000_6,O=C(CNc1nn[nH]n1)Oc1cccc(COCCCO)c1CCCCO,-6.121,-6.3380485,-10.429957,-6.3380485,1.9853466,No_10_129,No_10_129_out,2.828
LCS_2000,LCS_2000_7,C[C@@](O)(CO)C(=O)COCCc1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-6.902,-6.9138007,-11.794962,-6.9138007,2.2490983,No_10_148,No_10_148_out,3.58
LCS_2000,LCS_2000_8,O=C(O)CNCNC[C@@H](Nc1nn[nH]n1)C(=O)Oc1cc(C(=O)O)ccc1CO,-6.26,-6.2260709,-12.438289,-6.2260709,4.3033705,No_10_167,No_10_167_out,3.542
LCS_2000,LCS_2000_9,CC[C@@H](N)COCCc1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-6.572,-6.5751333,-11.873096,-6.5751333,2.5995951,No_10_176,No_10_176_out,3.337
LCS_2000,LCS_2000_10,NC(=O)c1cccc(CCCCO)c1OC(=O)CNc1nn[nH]n1,-6.067,-5.5498652,-8.9662123,-5.5498652,1.9737692,No_10_188,No_10_188_out,2.747
LCS_2000,LCS_2000_11,NCN[C@@H](CCO)c1nc(C(=O)c2ccc(C(=O)CO)cc2O)nc2[nH]ccc12,-6.634,-6.6650414,-12.622091,-6.6650414,2.6663921,No_10_207,No_10_207_out,3.777
LCS_2000,LCS_2000_12,NCCCNCOCc1cc([C@H](N)c2cncc(N)c2)ccc1CNCO,-6.182,-6.724822,-13.608466,-6.724822,1.8380665,No_10_219,No_10_219_out,3.53
LCS_2000,LCS_2000_13,CCOc1cccc(OC(=O)CNc2nn[nH]n2)c1CCCCO,-5.747,-6.0036669,-9.0716991,-6.0036669,1.7242352,No_10_226,No_10_226_out,2.635
LCS_2000,LCS_2000_14,NCCN(C(=O)Cc1ncc2cc(CN)[nH]c2n1)c1cccc(Nc2ccccc2)c1,-7.431,-7.1054063,-11.67788,-7.1054063,1.9463069,No_10_232,No_10_232_out,2.873
LCS_2000,LCS_2000_15,CC[C@H](CN)OCCc1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-6.583,-6.9826188,-11.580113,-6.9826188,1.4415382,No_10_233,No_10_233_out,3.413
LCS_2000,LCS_2000_16,NCC[C@@H](Cc1nc(C(=O)c2ccc(C(=O)COCN)cc2O)nc2[nH]ccc12)C(=O)CO,-6.659,-7.4987993,-13.118866,-7.4987993,2.6939859,No_10_241,No_10_241_out,3.884
LCS_2000,LCS_2000_17,NCOCC(=O)c1ccc(C(=O)c2nc(C[C@H](CN)C(N)=O)c3cc[nH]c3n2)c(O)c1,-7.001,-6.8231835,-12.611022,-6.8231835,2.0656424,No_10_245,No_10_245_out,3.728
LCS_2000,LCS_2000_18,O=C(O)CCCCc1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-6.684,-6.7418895,-9.9385586,-6.7418895,1.5714484,No_10_259,No_10_259_out,2.627
LCS_2000,LCS_2000_19,CCCCC(=O)c1ccc(C(=O)c2nc(CCCO)c3cc[nH]c3n2)c(O)c1,-7.125,-6.230937,-9.3812637,-6.230937,2.2201548,No_10_269,No_10_269_out,2.859
LCS_2000,LCS_2000_20,CCOc1ccc(CC(=O)O)cc1CN[C@@H](O)c1nn[nH]n1,-6.252,-5.2833991,-11.128856,-5.2833991,1.8756289,No_10_285,No_10_285_out,3.144
LCS_2000,LCS_2000_21,CO[C@@H](CCCO)c1c(CN)cccc1OC(=O)CNc1nn[nH]n1,-6.201,-6.4742398,-12.480758,-6.4742398,1.6061813,No_10_291,No_10_291_out,3.493
LCS_2000,LCS_2000_22,NC[C@H](CNC(N)=O)Cc1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-6.891,-6.7306409,-13.115054,-6.7306409,4.0572348,No_10_295,No_10_295_out,3.445
LCS_2000,LCS_2000_23,NC(=O)NC[C@@H](CO)Cc1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-6.528,-6.2436438,-10.689286,-6.2436438,1.9620762,No_10_296,No_10_296_out,3.403
LCS_2000,LCS_2000_24,O=C(CNc1nn[nH]n1)Oc1cc(CCO[C@@H](CCO)C(=O)O)ccc1CO,-7.128,-6.855217,-12.455379,-6.855217,1.6899662,No_10_310,No_10_310_out,3.398
LCS_2000,LCS_2000_25,NCN[C@@H](CO)COCCc1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-6.812,-7.1446185,-12.918591,-7.1446185,2.4430108,No_10_312,No_10_312_out,3.563
LCS_2000,LCS_2000_26,CC(=O)NC[C@H](N)c1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-6.937,-6.5712781,-13.162888,-6.5712781,2.0748048,No_10_317,No_10_317_out,3.321
LCS_2000,LCS_2000_27,CCOCc1cc(CN[C@@H](O)c2[nH]ccc2C(=O)O)cc(CC(=O)O)c1,-6.974,-6.3287935,-10.574738,-6.3287935,2.5968797,No_10_321,No_10_321_out,3.347
LCS_2000,LCS_2000_28,NC(=O)[C@H](CCO)OCCc1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-7.284,-7.0596313,-11.252377,-7.0596313,1.2236416,No_10_333,No_10_333_out,3.462
LCS_2000,LCS_2000_29,NCCCCC(=O)c1ccc(C(=O)c2nc(CCCO)c3cc[nH]c3n2)c(O)c1,-7.299,-6.7550211,-10.580587,-6.7550211,2.4606733,No_10_336,No_10_336_out,2.919
LCS_2000,LCS_2000_30,CNCc1cc(CN[C@](O)(CCN)CCO)cc(NC(=O)c2ccon2)c1,-6.355,-7.2594666,-14.005394,-7.2594666,1.6534606,No_10_343,No_10_343_out,3.551
LCS_2000,LCS_2000_31,NCCCOCc1cccc(OC(=O)CNc2nn[nH]n2)c1CCCCO,-6.126,-6.373704,-11.301046,-6.373704,2.6454494,No_10_344,No_10_344_out,2.851
LCS_2000,LCS_2000_32,N[C@@H](CCO)Cc1ccccc1OC(=O)CNc1nn[nH]n1,-5.687,-5.8058233,-12.049308,-5.8058233,1.9118329,No_10_345,No_10_345_out,3.147
LCS_2000,LCS_2000_33,NCNCCC[C@@H](CO)c1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-6.534,-6.4046593,-14.599892,-6.4046593,3.0477273,No_10_352,No_10_352_out,3.568
LCS_2000,LCS_2000_34,CCc1ccc(NC(=O)c2ccon2)cc1CN[C@](O)(CCN)CCO,-7.545,-6.5069547,-11.776406,-6.5069547,1.7413199,No_10_369,No_10_369_1_out,3.496
LCS_2000,LCS_2000_35,NCc1cc2cnc(CC(=O)Nc3cccc(Nc4ccccc4C(=O)CO)c3)nc2[nH]1,-7.545,-6.5069547,-11.776406,-6.5069547,1.7413199,No_10_369,No_10_369_1_out,2.791
LCS_2000,LCS_2000_36,CCOCc1cc(CN[C@H](O)CN)cc(CC(=O)O)c1,-5.99,-5.9052181,-12.048499,-5.9052181,6.4771781,No_10_370,No_10_370_out,3.046
LCS_2000,LCS_2000_37,NCc1c[nH]c2nc(C(=O)c3ccc(C(=O)CC(=O)O)cc3O)ncc12,-7.874,-6.2544413,-12.303279,-6.2544413,1.2539144,No_10_384,No_10_384_out,2.937
LCS_2000,LCS_2000_38,NCc1cccc(OC(=O)CNc2nn[nH]n2)c1C[C@H](CCO)C(=O)O,-5.669,-6.0980735,-11.195245,-6.0980735,1.2993342,No_10_391,No_10_391_out,3.45
LCS_2000,LCS_2000_39,NC(=O)NC[C@H](Cc1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1)NC(N)=O,-7.451,-6.3284583,-12.692154,-6.3284583,1.6486939,No_10_393,No_10_393_out,3.428
LCS_2000,LCS_2000_40,CCCC[C@@H](N)c1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-5.693,-6.1732383,-12.068847,-6.1732383,2.6294594,No_10_401,No_10_401_out,3.21
LCS_2000,LCS_2000_41,NCCOC[C@H](N)c1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-6.399,-6.1535468,-13.948853,-6.1535468,1.7427201,No_10_420,No_10_420_out,3.399
LCS_2000,LCS_2000_42,NCC(=O)[C@H](CCCCOc1ccc(NC(N)=O)cc1O)c1cncc(O)c1,-7.117,-6.5525026,-12.383576,-6.5525026,1.9576323,No_10_427,No_10_427_out,3.206
LCS_2000,LCS_2000_43,CCNCCc1cccc(OC(=O)CNc2nn[nH]n2)c1CCCCO,-6.521,-6.393692,-11.859289,-6.393692,2.3256555,No_10_443,No_10_443_out,2.77
LCS_2000,LCS_2000_44,CCN[C@H](CN)CCCc1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-6.891,-6.5669432,-12.431365,-6.5669432,1.5572815,No_10_449,No_10_449_out,3.347
LCS_2000,LCS_2000_45,CCC[C@@H](CCO)Cc1ccccc1OC(=O)CNc1nn[nH]n1,-6.444,-5.7379584,-9.3698597,-5.7379584,2.3475485,No_10_452,No_10_452_out,3.179
LCS_2000,LCS_2000_46,COC(=O)CCCc1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-6.614,-6.2977886,-10.584466,-6.2977886,1.9959018,No_10_461,No_10_461_out,2.648
LCS_2000,LCS_2000_47,COc1ccc(CCC[C@@H](C(=O)CN)c2cncc(O)c2)c(CCCO)c1,-6.984,-6.1389303,-11.309478,-6.1389303,2.2714698,No_10_471,No_10_471_out,3.22
LCS_2000,LCS_2000_48,NCc1cccc(OC(=O)CNc2nn[nH]n2)c1C[C@H](N)CCO,-6.051,-6.1431351,-12.349906,-6.1431351,2.0274863,No_10_476,No_10_476_out,3.446
LCS_2000,LCS_2000_49,CO[C@H](CCOCN)Cc1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-6.687,-6.5554938,-12.040486,-6.5554938,1.705188,No_10_494,No_10_494_out,3.613
