DATASET,ID,SMILES_Curado,Score_vina,S_moe,E_score1_moe,E_score2_moe,rmsd_refine_moe,ID_moe,ID_Score_Vina,SA score
UNPDA_1000,UNPDA_1000_1,NCC(=O)c1cc(CN)cc(Nc2ccc(CCCNC(N)=O)cc2CN)c1,-7.306,-7.4256001,-12.855677,-7.4256001,1.6360958,No_10_129,No_10_129_out,2.626
UNPDA_1000,UNPDA_1000_2,NCNCCc1cc(CNCc2cccc(N)c2)nc([C@H](O)C(=O)O)c1,-6.933,-6.3527446,-14.698857,-6.3527446,1.4686701,No_10_151,No_10_151_out,3.3
UNPDA_1000,UNPDA_1000_3,N=C(NC(=O)NCCCOC(=O)c1ccc(N)cc1)Nc1cccc2ccccc12,-7.941,-6.1666341,-9.2940445,-6.1666341,2.4341803,No_10_167,No_10_167_out,2.386
UNPDA_1000,UNPDA_1000_4,CCc1cc(Nc2ccc(C[C@@H]([NH])CNC(N)=O)cc2)cc(C(=O)CN)c1,-7.195,-6.8485861,-13.000632,-6.8485861,1.371004,No_10_209,No_10_209_out,3.225
UNPDA_1000,UNPDA_1000_5,N=C(NC(=O)NCCCOC(=O)c1nnc[nH]1)Nc1cccc2ccccc12,-8.065,-6.250011,-9.9745169,-6.250011,1.7825185,No_10_222,No_10_222_out,2.932
UNPDA_1000,UNPDA_1000_6,CCCc1cc(CCNCN)cc([C@H](O)C(=O)O)n1,-6.148,-5.4025588,-11.70639,-5.4025588,1.3695005,No_10_238,No_10_238_out,3.385
UNPDA_1000,UNPDA_1000_7,CCCN(c1ccc(CCCNC(N)=O)cc1)c1cc(CN)cc(C(=O)CN)c1,-7.103,-6.8883891,-11.330318,-6.8883891,1.8434424,No_10_242,No_10_242_out,2.643
UNPDA_1000,UNPDA_1000_8,NCCN(c1ccc(CCCNC(N)=O)cc1)c1cc(CO)cc(C(=O)CN)c1,-6.93,-6.9430842,-12.527311,-6.9430842,1.4649776,No_10_287,No_10_287_out,2.705
UNPDA_1000,UNPDA_1000_9,NC(=O)NCCCc1ccc(Nc2ccc(CCO)c(-c3cnc(CO)[nH]3)c2)cc1,-7.677,-7.0531859,-10.364581,-7.0531859,2.1220412,No_10_289,No_10_289_out,2.642
UNPDA_1000,UNPDA_1000_10,NC(=O)Nc1cccc([C@H](CO)Cn2nnc(C(=O)O)c2CO)c1,-6.958,-6.2727442,-10.606155,-6.2727442,1.4707543,No_10_315,No_10_315_out,3.246
UNPDA_1000,UNPDA_1000_11,CN(C)C(=O)c1cc(Nc2ccc(CCCNC(N)=O)cc2[NH])ccc1CCO,-7.485,-7.1383266,-10.405946,-7.1383266,1.1022263,No_10_339,No_10_339_out,2.801
UNPDA_1000,UNPDA_1000_12,CCC(=O)c1cc(CCNCN)cc([C@H](O)C(=O)O)n1,-6.058,-5.8518758,-12.00452,-5.8518758,1.506524,No_10_349,No_10_349_out,3.499
UNPDA_1000,UNPDA_1000_13,NCC(=O)COC(=O)c1nn(CCc2ccccc2CN)c2nc[nH]c(=O)c12,-6.683,-6.6841989,-13.080291,-6.6841989,1.0691292,No_10_371,No_10_371_out,2.91
UNPDA_1000,UNPDA_1000_14,N=C(NC(=O)NCCCOC(=O)c1occc1CN)Nc1cccc2ccccc12,-7.79,-7.0210934,-10.522751,-7.0210934,3.5215189,No_10_400,No_10_400_out,2.732
UNPDA_1000,UNPDA_1000_15,NCNCCc1cc(CNCc2ccc(N)cc2)nc([C@H](O)C(=O)O)c1,-6.708,-6.6319919,-14.157259,-6.6319919,2.255492,No_10_43,No_10_43_out,3.261
UNPDA_1000,UNPDA_1000_16,[NH]c1cc(CCCNC(N)=O)ccc1Nc1cc(CO)cc(C(=O)CN)c1,-7.197,-6.4620547,-10.451521,-6.4620547,1.5256305,No_10_455,No_10_455_out,2.869
UNPDA_1000,UNPDA_1000_17,N=C(NC(=O)NCCCOC(=O)c1conc1O)Nc1cccc2ccccc12,-7.931,-6.5126438,-10.666795,-6.5126438,1.4532651,No_10_487,No_10_487_out,2.87
